u40,mid,old,ger
201505.32948963047,132311.46538713505,74796.0050873099,20036.168482685334
186436.7696614831,125128.36973556475,70990.90158254422,19347.280416364734
199601.84448426327,131355.99174280727,74504.38075035377,20188.420572310086
193512.07474137883,128439.14841377539,70637.09495439084,19564.792387577865
191747.14737025907,124228.36246699493,69291.0061283905,19082.87711355283
190762.24996267614,122692.31295363617,68082.45981040651,18523.479284816884
188277.42484771324,121095.97040048675,67476.53872696908,18017.328145011626
184659.2186314296,118080.75450893847,64678.71500674415,18116.42574712404
196890.30225549306,124888.01916479495,68854.32551884101,18509.702558795496
186051.47682556845,119097.82835647004,65008.00496390111,17476.008526191043
177245.52161235735,112246.70670137125,61195.374530903864,16270.126069535994
173491.83990597315,111480.42404214233,58985.65627328265,16316.324800355067
169037.59708947444,109352.26009728092,57256.42853631875,15344.118388159084
167331.07299124062,108278.91634232282,55399.72540486752,14707.185391986526
163000.3856812593,105235.9650433414,54577.05004891489,14423.52159527701
161110.64881415313,104997.29555613948,53372.22140957487,14435.470193852378
159785.1064149162,104791.83597165429,53375.689368462634,15370.871454586097
152078.59527512835,99531.949333769,50606.05729730598,13863.48576077385
150192.0658231311,97593.75945030637,48464.00437997745,12758.933725866922
146319.12549379477,95407.60100849629,47620.6897714203,12888.904755039404
143102.75544267055,94031.68200266556,46268.578275132924,12797.61746441238
140869.73386786925,92786.0719634903,45304.54287791422,11981.661284099522
140313.9732741736,93398.94214193635,43273.71431315201,13435.56506871557
140531.11905401282,93031.87014606541,44378.64749231615,11519.865382013359
134647.92284808948,89839.34064241778,39606.26753940183,10632.465237627895
129933.96027171705,86580.08791591311,38681.311913653946,11775.97226037776
129947.30805849396,86588.55328525374,36484.84477860954,10429.301986962166
129094.40662917178,84322.666736454,37302.57742129136,10845.671076654426
125281.66239490687,83339.08257843558,34709.44730883511,10874.86484592049
122512.02731568663,81093.19444022144,34933.690540173084,11261.78644224289
124253.57974079656,81214.16758337848,34195.31071421484,10704.992132420228
117515.15420765297,74767.9979870069,32944.71253353485,10178.65258531648
116329.20687658012,72412.80752784548,31237.99932462979,9722.907025446373
103273.67311400293,64828.65099620957,28466.504151633522,8817.005511824098
111107.53784379926,68721.65615949457,29846.95712067227,8903.278633643955
109105.57659249497,68308.17140126442,28108.799458894882,8305.593050506115
105164.34690863908,65072.80043321323,26805.157149725925,7214.620202137604
104936.09069207366,64046.21132856297,27132.368838067814,8213.471242859972
99575.02176920424,60628.29247046346,24760.565699505118,7400.752318874193
96601.5105429033,57612.874480338825,23015.25418947582,7108.539283070506
104493.8912503445,62913.64021298811,25569.23414909828,8956.818532646468
92629.52532657201,54749.03986856204,21522.85895257624,7469.081358911673
88117.34218222847,50869.8349714843,21568.19866459437,7728.104651525693
85622.57224351086,50702.43390127062,21379.447116370193,7009.733360927105
86143.75189467012,50457.42923293071,20912.596488249117,6576.055261179161
