Date,Tot,Cumulated_Sum
2021-06-15,31.85714285714286,128385.57142857145
2021-06-16,29.285714285714285,128414.85714285716
2021-06-17,29.0,128443.85714285716
2021-06-18,26.285714285714285,128470.14285714287
2021-06-19,25.142857142857142,128495.28571428572
2021-06-20,23.285714285714285,128518.57142857145
2021-06-21,21.857142857142858,128540.4285714286
2021-06-22,20.0,128560.4285714286
2021-06-23,20.428571428571427,128580.85714285716
2021-06-24,18.71428571428571,128599.57142857145
2021-06-25,18.857142857142858,128618.4285714286
2021-06-26,17.571428571428573,128636.00000000001
2021-06-27,16.142857142857142,128652.14285714287
2021-06-28,15.142857142857142,128667.28571428572
2021-06-29,15.14285714285714,128682.4285714286
2021-06-30,14.428571428571429,128696.85714285716
2021-07-01,14.285714285714283,128711.14285714287
2021-07-02,13.285714285714285,128724.4285714286
2021-07-03,12.571428571428571,128737.00000000001
2021-07-04,11.857142857142858,128748.85714285716
2021-07-05,11.571428571428571,128760.4285714286
2021-07-06,11.571428571428571,128772.00000000001
2021-07-07,10.857142857142858,128782.85714285716
2021-07-08,10.428571428571429,128793.28571428572
2021-07-09,10.428571428571429,128803.7142857143
2021-07-10,10.142857142857142,128813.85714285716
2021-07-11,10.857142857142856,128824.7142857143
2021-07-12,10.428571428571429,128835.14285714287
2021-07-13,9.857142857142856,128845.00000000001
2021-07-14,9.285714285714285,128854.28571428572
2021-07-15,9.142857142857142,128863.4285714286
2021-07-16,9.285714285714285,128872.7142857143
2021-07-17,9.571428571428571,128882.28571428572
2021-07-18,9.285714285714285,128891.57142857145
2021-07-19,9.857142857142858,128901.4285714286
2021-07-20,9.857142857142858,128911.28571428572
2021-07-21,10.142857142857144,128921.4285714286
2021-07-22,10.142857142857142,128931.57142857145
2021-07-23,10.14285714285714,128941.7142857143
2021-07-24,10.999999999999998,128952.7142857143
2021-07-25,10.142857142857142,128962.85714285716
2021-07-26,10.42857142857143,128973.28571428572
2021-07-27,10.571428571428571,128983.85714285716
2021-07-28,11.571428571428571,128995.4285714286
2021-07-29,12.714285714285715,129008.14285714287
2021-07-30,13.857142857142858,129022.00000000001
2021-07-31,14.285714285714286,129036.28571428572
2021-08-01,16.714285714285715,129053.00000000001
2021-08-02,17.857142857142858,129070.85714285716
2021-08-03,19.142857142857142,129090.00000000001
2021-08-04,20.142857142857142,129110.14285714287
2021-08-05,20.285714285714285,129130.4285714286
2021-08-06,21.0,129151.4285714286
2021-08-07,21.714285714285715,129173.14285714287
2021-08-08,24.0,129197.14285714287
2021-08-09,25.57142857142857,129222.7142857143
2021-08-10,28.71428571428571,129251.4285714286
2021-08-11,31.142857142857142,129282.57142857145
2021-08-12,33.714285714285715,129316.28571428572
2021-08-13,35.71428571428571,129352.00000000001
2021-08-14,41.142857142857146,129393.14285714287
2021-08-15,41.57142857142857,129434.7142857143
2021-08-16,43.285714285714285,129478.00000000001
2021-08-17,44.142857142857146,129522.14285714287
2021-08-18,42.42857142857142,129564.57142857145
2021-08-19,44.42857142857142,129609.00000000001
2021-08-20,44.85714285714286,129653.85714285716
2021-08-21,43.0,129696.85714285716
2021-08-22,45.0,129741.85714285716
2021-08-23,44.142857142857146,129786.00000000001
2021-08-24,46.42857142857143,129832.4285714286
2021-08-25,49.57142857142857,129882.00000000001
2021-08-26,52.14285714285714,129934.14285714287
2021-08-27,53.0,129987.14285714287
2021-08-28,54.57142857142857,130041.7142857143
2021-08-29,54.142857142857146,130095.85714285716
2021-08-30,55.42857142857143,130151.28571428572
2021-08-31,56.285714285714285,130207.57142857145
2021-09-01,56.71428571428571,130264.28571428574
2021-09-02,56.857142857142854,130321.14285714288
2021-09-03,58.0,130379.14285714288
2021-09-04,57.0,130436.14285714288
2021-09-05,57.857142857142854,130494.00000000001
2021-09-06,59.14285714285714,130553.14285714288
2021-09-07,56.0,130609.14285714288
2021-09-08,57.142857142857146,130666.28571428574
2021-09-09,56.142857142857146,130722.4285714286
2021-09-10,55.42857142857143,130777.85714285716
2021-09-11,57.14285714285714,130835.00000000001
2021-09-12,57.85714285714285,130892.85714285716
2021-09-13,57.0,130949.85714285716
2021-09-14,57.142857142857146,131007.00000000001
2021-09-15,56.71428571428571,131063.7142857143
2021-09-16,53.857142857142854,131117.57142857145
2021-09-17,54.28571428571428,131171.85714285716
2021-09-18,52.28571428571429,131224.14285714287
2021-09-19,50.285714285714285,131274.42857142858
2021-09-20,50.857142857142854,131325.28571428574
2021-09-21,49.85714285714286,131375.14285714287
2021-09-22,47.42857142857142,131422.57142857145
2021-09-23,47.142857142857146,131469.71428571432
2021-09-24,45.57142857142857,131515.28571428574
2021-09-25,44.57142857142857,131559.85714285716
2021-09-26,43.85714285714286,131603.71428571432
2021-09-27,42.57142857142857,131646.28571428574
2021-09-28,41.714285714285715,131688.00000000003
2021-09-29,41.28571428571428,131729.28571428574
2021-09-30,40.714285714285715,131770.00000000003
2021-10-01,39.14285714285714,131809.14285714287
2021-10-02,38.0,131847.14285714287
2021-10-03,36.285714285714285,131883.42857142858
